refid,date,recipient,recipient_cleaned,office,amount
1219,01/08/2014,Retailers Association of MA Political Action Committee,Retailers Association of MA PAC,PAC,200.00
1219,02/13/2014,Martha Coakley,Martha Coakley,Governor,200.00
1219,03/06/2014,Jeffrey Sanchez,Jeffrey Sánchez,State Representative--15th Suffolk,100.00
1219,03/19/2014,Paul Donato,Paul Donato,State Representative--35th Middlesex,100.00
1219,04/01/2014,Stephen Brewer,Stephen Brewer,"State Senator--Worcester, Hampden, Hampshire & Middlesex",100.00
1219,04/15/2014,Joseph Wagner,Joseph F. Wagner,State Representative--8th Hampden,100.00
1219,04/17/2014,Karen Spilka,Karen Spilka,State Senator--2nd Middlesex & Norfolk,100.00
1219,04/17/2014,Jennifer Flanagan,Jennifer L. Flanagan,State Senator--Worcester & Middlesex,100.00
1219,04/17/2014,Vinny deMacedo,Viriato deMacedo,State Senator--Plymouth & Barnstable,200.00
1219,04/29/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senator--Hampshire, Franklin & Worcester",200.00
1219,05/06/2014,Ellen Story,Ellen Story,State Representative--3rd Hampshire,100.00
1219,05/08/2014,Sal DiDomenico,Sal DiDomenico,"State Senator--Middlesex, Suffolk & Essex",100.00
1219,05/14/2014,Committee for a Democratic House Political Action Committee,Committee for a Democratic House,PAC,100.00
1219,05/20/2014,Jerald Parisella,Jerald Parisella,State Representative--6th Essex,100.00
1219,05/21/2014,Brian Dempsey,Brian Dempsey,State Representative--3rd Essex,200.00
1219,05/22/2014,Thomas McGee,Thomas McGee,State Senator--3rd Essex,100.00
1219,06/26/2014,Joan Lovely,Joan Lovely,State Senator--2nd Essex,200.00
1219,07/23/2014,Michael Rodrigues,Michael J. Rodrigues,State Senate: 1st Bristol & Plymouth,200.00
1219,08/26/2014,Maura Healey,Maura Healey,Attorney General,100.00
1219,08/26/2014,Barbara L'Italien,Barbara L'Italien,State State: 2nd Essex & Middlesex,100.00
1219,09/29/2014,Deborah Goldberg,Deborah Goldberg,State Treasurer,100.00
1219,10/08/2014,Charlie Baker,Charles Baker,Governor,200.00
1219,10/08/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1219,10/14/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senate: 1st Essex,100.00
1219,10/16/2014,Maura Healey,Maura Healey,Attorney General,100.00
1219,12/03/2014,Tackey Chan,Tackey Chan,State Representative: 2nd Norfolk,100.00
1224,02/14/2014,Dan Hunt Committee,Daniel Hunt,"State Representative, 13th Suffolk",100.00
1224,03/06/2014,Jeff Sanchez Committee,Jeffrey Sánchez,"State Representative, 15th Suffolk",100.00
1224,03/13/2014,Richard Moore Committee,Richard Moore,"State Senate, Worcester and Norfolk",200.00
1224,03/17/2014,Jim Welch Committee,James T. Welch,"State Senate, Hampden",100.00
1224,03/18/2014,Liz Malia Committee,Elizabeth Malia,"State Representative, 11th Suffolk",125.00
1224,03/20/2014,Brian Dempsey Committee,Brian Dempsey,"State Representative,3rd Essex",200.00
1224,03/27/2014,Ron Mariano Committee,Ronald Mariano,"State Representative, 3rd Norfolk",125.00
1224,04/16/2014,Warren Tolman Committee,Warren Tolman,Attorney General,200.00
1224,04/17/2014,Jen Flanagan Committee,Jennifer L. Flanagan,"State Senate, Worcester and Middlesex",200.00
1224,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,N/A,200.00
1224,05/14/2014,Tom Kennedy Committee,Thomas P. Kennedy,"State Senate,2nd Plymouth and Bristol",200.00
1224,06/26/2014,Joan Lovely Committee,Joan Lovely,"State Senate, 2nd Essex",125.00
1224,07/23/2014,Martha Coakley,Martha Coakley,Governor,200.00
1224,09/09/2014,Suzanne Bump Committee,Suzanne Bump,Auditor,200.00
1224,10/20/2014,Steve Kerrigan Committee,Steve Kerrigan,Lieutenant Governor,100.00
1224,10/30/2014,Angelo Scaccia Committee,Angelo Scaccia,State Representative,200.00
12290,02/18/2014,Greater Boston Young Democrats,Greater Boston Young Democrats,N/A,20.00
12290,03/14/2014,Young Democrats of Massachusetts PAC,Young Democrats of Massachusetts PAC,N/A,15.00
12290,04/30/2014,Massachusetts Democratic Party,Massachusetts Democratic Party,N/A,75.00
12290,06/13/2014,Young Democrats of Massachusetts PAC,Young Democrats of Massachusetts PAC,N/A,20.00
12290,07/31/2014,"Lake, Micheal Edward",Mike Lake,Lieutenant Governor,200.00
12290,10/10/2014,"Dizoglio, Diana",Diana DiZoglio,"House, 14th Essex",100.00
1230,08/25/2014,Thomas Conroy,Thomas Conroy,State Treasurer,200.00
1230,08/25/2014,John Miller,John Miller,State Attorney General,200.00
1230,08/25/2014,Warren Tolman,Warren Tolman,State Attorney General,200.00
1231,01/07/2014,Edward W. Collins,Edward W. Collins,"Representative, 9th Hampden District",200.00
