refid,date,recipient,recipient_cleaned,office,amount
4933,07/09/2014,Stan Rosenberg,Stanley Rosenberg,"Senate Hampshire, Franklin, Worcester",200.00
4933,07/15/2014,Richard Moore,Richard Moore,Senate Worcester and Norfolk,200.00
4933,07/15/2014,Robert DeLeo,Robert DeLeo,Speaker of the House,200.00
4933,07/28/2014,John Rogers,John H. Rogers,Rep 12th Norfolk,200.00
4933,07/30/2014,Angelo Puppolo,Angelo Puppolo,Rep 12th Hampden,200.00
4933,08/20/2014,Carlo Basile,Carlo Basile,Rep 3rd Suffolk,200.00
4933,08/22/2014,Ted Speliotis,Theodore Speliotis,13th Essex,200.00
4933,09/04/2014,Cardiello,Cardiello,Governor's council,200.00
4933,09/05/2014,Stephen Abraham,Stephen Abraham,Register of Probate,200.00
4933,09/05/2014,Anthony Gulluni,Anthony Gulluni,Hampden District Attorney,200.00
4933,10/06/2014,Maura Healy,Maura Healey,Attorney General,200.00
4933,10/06/2014,Barbara L'Italien,Barbara L'Italien,Senate 18th Essex,200.00
4933,10/15/2014,Charlie Baker,Charles Baker,Governor,200.00
4933,10/15/2014,Karen Polito,Karyn Polito,Lieutenant Governor,200.00
4933,10/16/2014,Brian Ashe,Brian Ashe,Rep 2nd Hampden,200.00
4933,10/20/2014,Martha Coakley,Martha Coakley,Governor,200.00
4933,10/21/2014,Stephen Kerrigan,Steve Kerrigan,Lieutenant Governor,200.00
4933,10/22/2014,Michael Finn,Michael J. Finn,Sixth Hampden,200.00
4933,11/11/2014,Tom Golden,Thomas A. Golden,16th Middlesex,200.00
4933,11/13/2014,Angelo Puppolo,Angelo Puppolo,Rep 12th Hampden,200.00
4933,11/18/2014,Richard Ross,Richard Ross,"Norfolk, Bristol and Middlesex",200.00
4933,11/18/2014,Tackey Chan,Tackey Chan,Second Norfolk,200.00
4933,11/21/2014,Anne Gobi,Anne Gobi,Fifth Worcester,200.00
4933,11/26/2014,John Mahoney,John J. Mahoney,13th Worcester,150.00
4952,04/04/2014,Barry Finegold,Barry Finegold,Treasurer,250.00
4952,04/14/2014,Deb Goldberg,Deborah Goldberg,Treasurer,250.00
4956,04/07/2014,Dave Rogers,David M. Rogers,"Representative - Belmont, Arlington, Cambridge",100.00
4956,04/08/2014,Maura Healey,Maura Healey,Attorney General,100.00
4956,05/13/2014,Committee for a Democratic Legislature,Committee for a Democratic Legislature,State legislators,100.00
4956,08/06/2014,Steve Grossman,Steve Grossman,governor,100.00
4956,08/06/2014,Michael Sullivan,Michael Sullivan,District Attorney - Middlesex County,50.00
4957,05/23/2014,Ed Markey,Edward Markey,United States Senate,200.00
4957,06/14/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
4968,04/22/2014,Michael Albano,Michael Albano,Governors Council District 8,100.00
4968,06/02/2014,Stan Rosenberg,Stanley Rosenberg,"State Senator, Hampshire-Franklin District",100.00
4968,06/02/2014,Steven Kerrigan,Steve Kerrigan,Lt. Governor,50.00
4968,06/17/2014,Robert DeLeo,Robert DeLeo,"19th Suffolk, State Representative",100.00
4968,06/17/2014,Aaron Vega Committee,Aaron Vega,"State Representative, 5th Hampden",100.00
4968,08/05/2014,Thomas Conroy Committee,Thomas Conroy,State Treasurer,50.00
4968,08/07/2014,Patrick Leahy Committee,Patrick Leahy,State Senate - 2nd Hampden,100.00
4968,08/20/2014,Sheriff Michael Ashe Committee,Michael Ashe,Sheriff - Hampden County,100.00
4968,09/04/2014,Devin Sheehan Committee,Devin Sheehan,Holyoke School Committee,50.00
4968,10/04/2014,Patrick Leahy Committee,Patrick Leahy,State Senate - 2nd Hampden,50.00
4968,10/11/2014,Aaron Vega Committee,Aaron Vega,State Rep - 5th Hampden,100.00
4968,10/20/2014,Anthony Gulluni,Anthony Gulluni,District Attorney - Hampden County,100.00
4978,04/09/2014,MassAlliance,Mass. Alliance,N/A - PAC,35.00
4978,04/10/2014,William Straus,William Straus,State Rep,100.00
4978,06/19/2014,MassAlliance,Mass. Alliance,N/A - PAC,35.00
4978,06/27/2014,John Tierney,John Tierney,Congress,100.00
4978,08/19/2014,Maura Healey,Maura Healey,Attorney General,150.00
4978,10/29/2014,Barbara L'Italien,Barbara L'Italien,State Senate,100.00
4978,11/20/2014,MassAlliance,Mass. Alliance,N/A,50.00
4985,01/14/2014,Therese Murray,Therese Murray,State Senate - Plymouth & Barnstable,100.00
4985,02/04/2014,Dan Hunt,Daniel Hunt,State Representative - 13th Suffolk,100.00
4985,02/28/2014,Dan Ryan,Daniel J. Ryan,State Representative - 2nd Suffolk,100.00
4985,03/04/2014,Brian LeFort,Brian LeFort,State Representative - 13th Middlesex,100.00
4985,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senate - 1st Essex,100.00
4985,04/03/2014,Bob DeLeo,Robert DeLeo,State Representative - 19th Suffolk,100.00
4985,04/08/2014,Mike Finn,Michael J. Finn,State Representative - 6th Hampden,125.00
4985,04/09/2014,Mark Cusack,Mark J. Cusack,State Representative - 5th Norfolk,125.00
4985,04/15/2014,Pat Haddad,Patricia Haddad,State Representative - 5th Bristol,125.00
4985,04/15/2014,Dave Nangle,David M. Nangle,State Representative - 17th Middlesex,125.00
4985,04/15/2014,Aaron Michlewitz,Aaron Michlewitz,State Representative - 3rd Suffolk,125.00
4985,04/16/2014,Bob DeLeo,Robert DeLeo,State Representative - 19th Suffolk,100.00
4985,05/15/2014,Committee for a Democratic House,Committee for a Democratic House,State House of Representatives,100.00
4985,05/15/2014,Dick Moore,Richard Moore,State Senate - Worcester and Norfolk,100.00
4985,06/17/2014,Brian Demspey,Brian Dempsey,State Representative - 3rd Essex,200.00
4985,06/17/2014,Dave Nangle,David M. Nangle,State Representative - 17th Middlesex,100.00
4985,07/10/2014,Sal LaMattina,Sal LaMattina,Boston City Council,100.00
4985,07/15/2014,John Mahoney,John J. Mahoney,State Representative,100.00
4985,07/16/2014,Diana Dzoglio,Diana DiZoglio,State Representative,100.00
4985,07/16/2014,Denise Garlick,Denise Garlick,State Representative,100.00
4985,07/16/2014,Jim O'Day,James J. O'Day,State Representative -,100.00
4985,07/17/2014,Dan Donoghue,Daniel M. Donahue,State Representative -,100.00
4985,10/06/2014,Maura Healey,Maura Healey,Massachusetts Attorney General,100.00
4985,10/07/2014,Maura Healey,Maura Healey,Massachusetts Attorney General,100.00
4985,10/15/2014,Carlo Basile,Carlo Basile,State Representative -,100.00
4985,10/20/2014,Paul Broduer,Paul Brodeur,State Representative -,100.00
4985,10/21/2014,Martha Coakley,Martha Coakley,Governor,100.00
4985,10/28/2014,Barbara L'Italien,Barbara L'Italien,State Senate,100.00
4985,12/01/2014,Dan Cullinane,Daniel Cullinane,State Representative -,100.00
4985,12/18/2014,Mike Flaherty,Michael Flaherty,Boston City Council,100.00
4985,12/29/2014,Anthony Petruccelli,Anthony Petruccelli,State Senate,200.00
5013,02/12/2014,Organizing for Action,Organizing for Action,"U.S. President, Barack Obama, United States",5.00
5013,03/20/2014,Act Blue (PAC),Act Blue (PAC),"U.S. Senator, Jeanne Shaheen, New Hampshire",5.00
5013,05/29/2014,Organizing for Action,Organizing for Action,"U.S. President, Barack Obama, United States",6.00
5109,10/05/2014,Seth Moulton,Seth Moulton,"Representative, 6th congressional district",100.00
5109,10/15/2014,Paul Tucker,Paul Tucker,State Representative - Salem,100.00
5109,12/09/2014,Kim Driscoll,Kim Driscoll,Mayor of Salem,50.00
5110,03/15/2014,Rep Shawn Dooley,Shawn Dooley,"State Representative, Plainville",50.00
5110,04/23/2014,Charlie Baker Committee,Charles Baker,Candidate for Governor,100.00
5138,04/15/2014,Joseph F. Wagner,Joseph F. Wagner,State Representative; 8th Hampden / Chicopee,200.00
5138,05/21/2014,Brian S. Dempsey,Brian Dempsey,State Representative; 3rd Essex / Haverhill,200.00
5138,06/26/2014,Warren Tolman,Warren Tolman,Democratic Candidate for Massachusetts Attorney General,200.00
5161,05/22/2014,Mike Day,Michael S. Day,State Rep. 31st Middlesex,200.00
5171,01/28/2014,Anthony Petruccelli,Anthony Petruccelli,State Senator - 1st Suffolk Middlesex,200.00
5171,05/02/2014,Edward Markey,Edward Markey,US Senate for Massachusetts,200.00
5171,05/14/2014,Richard Moore,Richard Moore,State Senator Worcester and Norfolk,200.00
5171,06/04/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senator 1st Essex,200.00
5171,06/09/2014,Michael Rodrigues,Michael J. Rodrigues,State Senator 1st Bristol and Plymouth,200.00
5171,09/18/2014,Suzanne Bump,Suzanne Bump,State Auditor - State of Massachusetts,200.00
5171,09/30/2014,Maura Healey,Maura Healey,Attorney General for the State of Massachusetts,200.00
5189,07/09/2014,Committee to elect Anthony Petruccelli,Anthony Petruccelli,Massachusetts State Senate,100.00
5197,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,PAC,100.00
5197,06/18/2014,Barry Feingold,Barry Finegold,State Treasurer,200.00
5197,07/23/2014,Ben Downing,Benjamin Downing,"State Senate - Berkshire, Hampshire, Franklin & Hampden",200.00
5197,07/23/2014,Committee for a Democractic House PAC,Committee for a Democratic House,PAC,100.00
5197,10/07/2014,Charlie Baker,Charles Baker,Governor,200.00
5242,03/25/2014,Rep.Robert DeLeo,Robert DeLeo,"Representative, 19th Suffolk",100.00
5242,03/26/2014,Ron Mariano,Ronald Mariano,"Representative, 3rd Norfolk",100.00
5242,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,n/a,200.00
5242,05/15/2014,Steve Tompkins,Steven Tompkins,"Sheriff, Suffolk County",75.00
5242,06/04/2014,Dan Cullinane,Daniel Cullinane,12th Suffolk,100.00
5242,10/14/2014,Martin Walsh,Martin Walsh,"Mayor, City of Boston",100.00
5242,10/14/2014,Massachusetts Democratic Party,Massachusetts Democratic Party,Mass. Democratic Party,200.00
5242,10/29/2014,Edward Cameron,Edward Cameron,"State Representative, First Essex District",100.00
5242,12/04/2014,Martin Walsh,Martin Walsh,"Mayor, City of Boston",100.00
5242,12/11/2014,Aaron Michlewitz,Aaron Michlewitz,"State Representative, Third Suffolk District",100.00
5270,02/25/2014,Coakley Committee,Martha Coakley,Governor,100.00
5280,03/04/2014,Ron Mariano,Ronald Mariano,"State representative, Third Norfolk",200.00
5316,05/29/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
5316,06/05/2014,Cross & Shield PAC,Cross & Shield PAC,political action committee,200.00
5316,06/30/2014,Martha Coakley,Martha Coakley,Governor,200.00
5316,08/29/2014,Maura Healey,Maura Healey,Attorney General,200.00
5316,09/15/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senate, Hampshire, Franklin and Worcester",200.00
5316,10/28/2014,Deborah Goldberg,Deborah Goldberg,Treasurer,200.00
5316,11/13/2014,Brian Dempsey,Brian Dempsey,"State Representative, 3rd Essex",200.00
5334,03/19/2014,Charlie Baker,Charles Baker,Governor of Massachusetts,200.00
5334,03/19/2014,Karyn Polito,Karyn Polito,Lieutenant Governor of Massachusetts,200.00
5334,03/25/2014,Warren Tolman,Warren Tolman,Attorney General of Massachusetts,200.00
5334,10/24/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
5334,10/24/2014,Lew Evangelidis,Lewis Evangelidis,Sheriff - Worcester County,200.00
5334,10/24/2014,Massachusetts House Republican PAC,Massachusetts House Republican PAC,PAC,200.00
5334,10/24/2014,Curt Myers,Curt Myers,"State Representative - Norfolk, District 15",100.00
5334,12/10/2014,Mark Ciommo,Mark Ciommo,"City Council - Boston, District 9",200.00
5353,03/28/2014,Maura Healey,Maura Healey,Attorney General,200.00
5353,06/30/2014,Martha Coakley,Martha Coakley,Governor,200.00
5353,09/10/2014,Steve Kerrigan,Steve Kerrigan,Lieutenant Governor,200.00
5355,06/21/2014,"Robert DeLeo
Committee for a Democratic House",Robert DeLeo,"Massachusetts House of Representative
Winthrop district",50.00
5358,04/09/2014,Martha Coakley,Martha Coakley,Governor,100.00
5406,01/06/2014,Barry Finegold,Barry Finegold,State Treasurer,200.00
5406,01/23/2014,"
Robert DeLeo",Robert DeLeo,19th Suffolk District,200.00
5406,03/20/2014,Brian Dempsey,Brian Dempsey,3d Essex District,200.00
5406,05/21/2014,Anthony Petrucelli,Anthony Petruccelli,1st Suffolk and Middlesex District,200.00
5406,06/24/2014,Richard Moore,Richard Moore,Worcester and Norfolk District,200.00
5406,07/28/2014,Maura Healey,Maura Healey,Office of Attorney General,200.00
5406,08/07/2014,Barry Finegold,Barry Finegold,Office of State Treasurer,200.00
5406,10/17/2014,Matthew Patrick,Matthew Patrick,"State Senate, Plymouth & Barnstable",200.00
5406,10/29/2014,Suzanne Bump,Suzanne Bump,Office of State Auditor,200.00
5537,01/02/2014,Aaron Michelwitz,Aaron Michlewitz,State Representative 3rd Suffolk District,100.00
5537,01/02/2014,Paul Donato,Paul Donato,State Representative 35th Middlesex District,100.00
5537,02/02/2014,Martha Coakley,Martha Coakley,Current Attorney General of Massachusetts seeking office of Governor of Massachusetts,50.00
5537,04/17/2014,Paul Donato,Paul Donato,State Representative 35th Middlesex District,50.00
5537,07/24/2014,Martha Coakley,Martha Coakley,Governor,50.00
5537,08/27/2014,Maura Healy,Maura Healey,Attorney General,50.00
5589,03/19/2014,Richard Moore,Richard Moore,"Massachusetts Senator, Worcester & Norfolk",100.00
5611,03/12/2014,Robert DeLeo,Robert DeLeo,"- House of Representatives
- Speaker of the House
- Winthrop
- District: Nineteenth Suffolk, Consisting of Revere: Ward 1: Precincts 1, 2, Ward 2, Ward 3: Precincts 2, 3, Ward 5: Precinct 3; Winthrop",125.00
5611,04/03/2014,Robert DeLeo,Robert DeLeo,"- House of Representatives
- Speaker of the House
- Winthrop
- District: Nineteenth Suffolk, Consisting of Revere: Ward 1: Precincts 1, 2, Ward 2, Ward 3: Precincts 2, 3, Ward 5: Precinct 3; Winthrop",150.00
5611,10/20/2014,Martin J. Walsh,Martin Walsh,Mayor of Boston,100.00
5611,11/26/2014,Martin J. Walsh,Martin Walsh,Mayor of Boston,125.00
5636,11/03/2014,Martha Coakley,Martha Coakley,Governor,25.00
5639,01/28/2014,Anthony Petruccelli Committee,Anthony Petruccelli,"State Senate, 1st Suffolk & Middlesex",200.00
5639,04/14/2014,Warren Tolman,Warren Tolman,"Candidate, Attorney General",200.00
5639,05/12/2014,The Dempsey Committee,Brian Dempsey,"State Representative, Third Essex",100.00
5639,10/03/2014,Charlie Baker Committee,Charles Baker,Candidates for Governor,100.00
5639,10/20/2014,Maura Healey,Maura Healey,Candidate for Attorney General,100.00
5710,01/21/2014,Tom Ashe,Thomas Ashe,Springfield City Council,200.00
5710,01/31/2014,Aaron Michlewitz,Aaron Michlewitz,3rd Suffolk Rep,200.00
5710,03/17/2014,Tackey Chan,Tackey Chan,2nd Norfolk Rep,100.00
5710,03/21/2014,Steve Murphy,Stephen Murphy,Boston City Council,200.00
5710,03/23/2014,Dan Donahue,Daniel M. Donahue,16th Worcester District,100.00
5710,03/27/2014,John Keenan,John F. Keenan,"Norfolk, Plymouth Senate",200.00
5710,04/04/2014,Lou Kafka,Louis Kafka,8th Norfolk Rep,200.00
5710,04/30/2014,Joe Pacheco,Joe Pacheco,8th Plymouth District,200.00
5710,05/04/2014,Charles Patch,Charles Patch,Revere City Council,125.00
5710,05/08/2014,John Mahoney,John J. Mahoney,13th Worcester Rep,100.00
5710,05/12/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
5710,05/14/2014,Jim Timilty,James Timilty,Bristol & Norfolk Senate,200.00
5710,05/15/2014,John Fernandes,John Fernandes,10th Worcester District,100.00
5710,05/30/2014,Dan Rizzo,Dan Rizzo,Mayor of Revere,200.00
5710,05/31/2014,Mike Moore,Michael Moore,2nd Worcester Senate District,100.00
5710,06/03/2014,Tom Koch,Tom Koch,Mayor of Quincy,100.00
5710,06/04/2014,Alex Morse,Alex Morse,Mayor of Holyoke,200.00
5710,06/12/2014,Jim Micelli,James Miceli,19th Middlesex State Rep,100.00
5710,06/19/2014,Ted Speliotis,Theodore Speliotis,State Representative - 13th Essex,200.00
5710,06/24/2014,Moe Bergman,Morris Bergman,"City Councilor, Worcester",200.00
5710,07/08/2014,Michael Rodriques,Michael J. Rodrigues,"State Senate, 1st Bristol and Plymouth",200.00
5710,07/21/2014,Steve Abraham,Stephen Abraham,"Registrar of Probate, Worcester County",200.00
5710,08/06/2014,Anne Gobi,Anne Gobi,"State Senator, Worcester, Hampden, Hampshire, and Middlesex",200.00
5710,08/24/2014,Marty Walsh,Martin Walsh,"Mayor, Boston",200.00
5710,08/29/2014,Harold Naughton,Harold Naughton,"State Representative, 12th Worcester District",200.00
5710,10/08/2014,Matt McDonough,Matthew J. McDonough,"Registrar of Probate, Plymouth County",200.00
5710,10/10/2014,Brian Dempshey,Brian Dempsey,"State Representative, 3rd Essex District",50.00
5710,10/19/2014,Paul Donato,Paul Donato,"State Representative, 35th Middlesex",200.00
5710,10/22/2014,David Linsky,David Linsky,"State Representative, 5th Middlesex District",100.00
5710,10/22/2014,Doug Belanger,Doug Belanger,"State Representative, 17th Worcester District",200.00
5710,10/31/2014,Bill Carpentar,William Carpenter,"Mayor, Brockton, MA",200.00
5710,11/03/2014,Jonathan Blodgett,Jonathan Blodgett,"District Attorney, Essex County",100.00
5710,11/14/2014,Frank Baker,Frank Baker,"City Councilor, Boston",100.00
5793,09/02/2014,Charlie Baker Campaign,Charles Baker,Governor,250.00
5793,09/16/2014,Charlie Baker Campaign,Charles Baker,Governor,250.00
5824,04/01/2014,Claire Cronin (D),Claire Cronin,"State Representative, 11th Plymouth",100.00
5824,04/03/2014,Peg Curtis(D),Peg Curtis,"State Representative, 10th Plymouth",50.00
5824,04/24/2014,Tom Monaghan,Tom Monaghan,"Ward 2 City Councilor, City of Brockton",20.00
5824,05/18/2014,Walter Timilty (D),Walter Timilty,"State Representative, 7th Norfolk",100.00
5824,05/29/2014,Bill Carpenter,William Carpenter,"Mayor, City of Brockton",250.00
5824,10/16/2014,John Buckley,John Buckley,Plymouth County Registrar of Deeds,100.00
5841,03/28/2014,Ronald Mariano,Ronald Mariano,"State Representative
Quincy",125.00
5841,03/28/2014,Bradley Jones,Bradley H. Jones,"State Representative
Reading",100.00
5841,03/28/2014,Marc Pacheco,Marc R. Pacheco,"State Senator
Taunton",200.00
5841,03/28/2014,Michael Morrissey,Michael Morrissey,"District Attorney
Norfolk County",100.00
5841,03/28/2014,Dennis Rosa,Dennis Rosa,"State Representative
Leominster",100.00
5841,04/03/2014,Patricia Haddad,Patricia Haddad,"State Representative
Somerset",200.00
5841,04/03/2014,Robert DeLeo,Robert DeLeo,"State Representative
Winthrop",200.00
5841,05/22/2014,James Timilty,James Timilty,"State Senator
Walpole",100.00
5841,06/13/2014,Kevin Honan,Kevin G. Honan,"State Representative
Brighton",200.00
5841,06/21/2014,Harriette Chandler,Harriette Chandler,"State Senator
Worcester",200.00
5841,10/24/2014,John Rogers,John H. Rogers,State Representative Norwood,150.00
5847,04/14/2014,"Speaker DeLeo, Democratic Party",Robert DeLeo,"State Representative representing 19th Suffolk - Revere, Ward 1(precincts 1,2) Ward 2, Ward 3, (precincts 2,3) Ward 5(precinct 3), Wintrhop",50.00
5847,09/08/2014,Angelo Puppolo,Angelo Puppolo,"State Representative, 12th Hampden District",100.00
5847,10/06/2014,Maura Healey,Maura Healey,Attorney General,100.00
5847,10/20/2014,Martha Coakley,Martha Coakley,Governor,75.00
5847,10/23/2014,Charlie Baker,Charles Baker,Governor,100.00
5847,11/03/2014,Michael Finn,Michael J. Finn,"State Representative, 6th Hampden District",100.00
5847,12/22/2014,Anthony Petrucelli,Anthony Petruccelli,"State Senate, 1st Suffolk, Middlesex",100.00
5860,04/04/2014,The Steve Grossman,Steve Grossman,Governor,50.00
5865,04/01/2014,Jennifer Flanagan,Jennifer L. Flanagan,MA Senate- 4th Worcester,50.00
5865,08/25/2014,Jennifer Flanagan,Jennifer L. Flanagan,State Senate Worcester & Middlesex District,50.00
5865,09/30/2014,Jonathan Zlotnik,Jonathan Zlotnik,2nd Worcester District,25.00
5872,04/04/2014,The Steve Brewer Committee,Stephen Brewer,"Worcester, Hampden, Hampshire, and Middlesex District",200.00
5872,06/18/2014,The Ellen Story Committee,Ellen Story,3rd Hampshire District,30.00
5872,06/18/2014,The Rosenberg Committee,Stanley Rosenberg,Hampshire Franklin District,100.00
5913,06/04/2014,John V. Fernandes,John Fernandes,"State Representative, 10th Worcester District",200.00
5923,12/31/2014,N/A,N/A,N/A,0.00
5924,02/14/2014,Finegold Committee,Barry Finegold,"Barry Finegold - Senate, 2nd Essex & Middlesex (110); Candidate for Treasurer of Commonwealth (1113)",200.00
5924,04/01/2014,Coakley Committee,Martha Coakley,Martha Coakley - Attorney General (1111); Candidate for Governor of Commonwealth (1109),100.00
5924,04/30/2014,Coakley Committee,Martha Coakley,Martha Coakley - Attorney General (1111); Candidate for Governor of Commonwealth (1109),100.00
5924,10/01/2014,L'Italien Committee,Barbara L'Italien,"Senate, 2nd Essex & Middlesex(110)",200.00
5924,10/07/2014,Polito Committee,Karyn Polito,Lieutenant Governor (1110),200.00
5924,10/22/2014,Baker Committee,Charles Baker,Governor (1109),200.00
5938,04/28/2014,Barry Finegold,Barry Finegold,Committee to Elect Barry Finegold for State Treasurer,200.00
5960,06/09/2014,The Baker Committee,Charles Baker,Governor of Massachusetts,100.00
5963,06/26/2014,Martha Coakley Committee,Martha Coakley,Governor - Statewide,200.00
5963,06/26/2014,Martha Coakley Committee,Martha Coakley,Governor - Statewide,200.00
5963,06/26/2014,Martha Coakley Committee,Martha Coakley,Governor - Statewide,200.00
5963,01/13/2014,Rob Consalvo Committee,Robert Consalvo,Mayor of Boston,100.00
5963,02/03/2014,Brad Jones Committee,Bradley H. Jones,State Rep. - 20th Middlesex,100.00
5963,02/03/2014,Ed Coppinger Committee,Edward Coppinger,State Rep. - 10th Suffolk,100.00
5963,02/06/2014,Bill Linehan Committee,William Linehan,Boston City Councilor - District 2,100.00
5963,02/27/2014,Dan Ryan Committee,Daniel J. Ryan,State Rep - 2nd Suffolk,200.00
5963,03/05/2014,Brian Dempsey Committee,Brian Dempsey,State Rep - 3rd Essex,200.00
5963,03/07/2014,Carlo Basile Committee,Carlo Basile,State Rep - 1st Suffolk,200.00
5963,03/26/2014,Ron Mariano Committee,Ronald Mariano,State Rep,200.00
5963,03/28/2014,Bill Strauss Committee,William Straus,State Rep - 10th Bristol,100.00
5963,04/07/2014,Jay Livingstone Committee,Jay Livingstone,State Rep - 8th Suffolk,100.00
5963,04/07/2014,Aaron Michlewitz Committee,Aaron Michlewitz,State Rep - 3rd Suffolk,200.00
5963,04/09/2014,Robert DeLeo Committee,Robert DeLeo,State Rep - 19th Suffolk,200.00
5963,04/10/2014,Tony Cabral Committee,Antonio Cabral,State Rep - 13th Bristol,100.00
5963,04/29/2014,Linda Dorcena Forry Committee,Linda Dorcena Forry,State Senator - 1st Suffolk,200.00
5963,04/30/2014,Deb Goldberg Committee,Deborah Goldberg,Candidate for Treasurer - Statewide,200.00
5963,05/08/2014,Committee for a Democratic House,Committee for a Democratic House,Statewide,200.00
5963,05/12/2014,Sal DiDomenico Committee,Sal DiDomenico,State Senator - Middlesex & Suffolk,100.00
5963,05/22/2014,Tom McGee Committee,Thomas McGee,State Senator - 3rd Essex,200.00
5963,06/02/2014,Mike Day Committee,Michael S. Day,Candidate for State Rep - 31st Middlesex,200.00
5963,06/12/2014,Marjorie Decker Committee,Marjorie Decker,State Rep - 25th Middlesex,100.00
5963,06/18/2014,Peter Koutoujian Committee,Peter Koutoujian,Sheriff - Middlesex County,200.00
5963,06/19/2014,Kevin Honan Committee,Kevin G. Honan,State Rep - 17th Suffolk,100.00
5963,06/25/2014,Martha Coakley Committee,Martha Coakley,Candidate for Governor - Statewide,200.00
5963,10/31/2014,DEB GOLDBERG,Deborah Goldberg,TREASURER - MA,50.00
5963,08/22/2014,STEVE TOMPKINS,Steven Tompkins,SHERIFF - SUFFOLK COUNTY,50.00
5963,10/05/2014,MARTIN J. WALSH,Martin Walsh,MAYOR - BOSTON,100.00
5963,10/31/2014,DEB GOLDBERG,Deborah Goldberg,TREASUER - MA,50.00
5963,07/28/2014,LELAND CHEUNG,Leland Cheung,CAMBRIDGE CITY COUNCILLOR,100.00
5963,07/28/2014,PETER KOUTOUJIAN,Peter Koutoujian,SHERIFF - MIDDLESEX COUNTY,50.00
5963,08/26/2014,LELAND CHEUNG,Leland Cheung,CAMBRIDGE CITY COUNCILLOR,100.00
5963,09/08/2014,MAURA HEALEY,Maura Healey,ATTORNEY GENERAL - MA,200.00
5963,10/05/2014,MARTIN J. WALSH,Martin Walsh,MAYOR - BOSTON,200.00
5963,10/28/2014,JENNIFER FLANAGAN,Jennifer L. Flanagan,STATE SENATE - Worcester and Middlesex,50.00
5963,10/31/2014,DEB GOLDBERG,Deborah Goldberg,TREASURER - MA,50.00
5963,12/30/2014,JOE CURTATONE,Joseph Curtatone,MAYOR OF SOMERVILLE,50.00
5963,12/30/2014,ADRIAN MADARO,Adrian Madaro,STATE REP - FIRST SUFFOLK,200.00
5963,07/16/2014,DAN RIZZO,Dan Rizzo,MAYOR - REVERE,100.00
5963,07/25/2014,KATIE IVES,Kathleen O'Connor Ives,STATE SENATE - FIRST ESSEX,200.00
5963,07/25/2014,CHRISTINE BARBER,Christine Barber,STATE REP - Thirty-Fourth Middlesex,200.00
5963,08/05/2014,MIKE MORAN,Michael J. Moran,STATE REP - Eighteenth Suffolk,100.00
5963,09/02/2014,SMITTY PIGNATELLI,William Pignatelli,STATE REP - Fourth Berkshire,100.00
5963,09/03/2014,ANGEL TAVERAS,Angel Taveras,GOVERNOR OF RI,500.00
5963,09/16/2014,STEVE TOMPKINS,Steven Tompkins,SHERIFF - SUFFOLK COUNTY,200.00
5963,09/24/2014,CARLO BASILE,Carlo Basile,STATE REP - FIRST SUFFOLK,200.00
5963,09/30/2014,MARTIN J. WALSH,Martin Walsh,MAYOR - BOSTON,200.00
5963,10/05/2014,MAURA HEALEY,Maura Healey,MA ATTORNEY GENERAL,200.00
5963,10/24/2014,DAN CULLINANE,Daniel Cullinane,STATE REP - Twelfth Suffolk,200.00
5963,12/05/2014,ANTHONY PETRUCCELLI,Anthony Petruccelli,STATE SENATE- First Suffolk and Middlesex,200.00
5963,12/08/2014,CHARLIE BAKER,Charles Baker,GOVERNOR OF MA,200.00
5963,12/12/2014,SAL LAMATTINA,Sal LaMattina,BOSTON CITY COUNCILLOR - DISTRICT 1,200.00
5963,12/12/2014,JOE CURTATONE,Joseph Curtatone,MAYOR - SOMERVILLE,200.00
5963,12/12/2014,NEVILLE BLAKEMORE,NEVILLE BLAKEMORE,TREASURER - KY,100.00
5974,04/17/2014,Committee to elect Eric Lesser,Eric Lesser,State Senate First Hampden and Hampshire,200.00
5981,04/03/2014,Maura Healey,Maura Healey,Attorney General,100.00
5981,05/29/2014,Martha Coakley,Martha Coakley,Governor,200.00
5981,08/14/2014,Christine Barber,Christine Barber,State Representative,100.00
5981,08/28/2014,Shawn Allyn,Shawn Allyn,Hampden County District Attorney,100.00
5981,10/07/2014,Martha Coakley,Martha Coakley,Governor,200.00
5991,03/03/2014,Ron Mariano,Ronald Mariano,"Representative, Third Norfolk",200.00
5999,01/17/2014,Retailers Association of Massachusetts Political Action Committee,Retailers Association of MA PAC,N/A,200.00
5999,02/12/2014,Edward F. Coppinger,Edward Coppinger,State Representative 10th Suffolk,100.00
5999,02/25/2014,Robert A. Deleo,Robert DeLeo,State Representative 19th Suffolk,200.00
5999,02/27/2014,Harriet L. Chandler,Harriette Chandler,State Senator 1st Worcester,100.00
5999,03/27/2014,Ronald Mariano,Ronald Mariano,State Representative 3rd Norfolk,100.00
